City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,Vilhena,BR,1/23/2022 21:39,-12.7406,-60.1458,70.02,94,75,5.75
145,Severo-Kurilsk,RU,1/23/2022 21:39,50.6789,156.125,25.3,74,100,10.78
146,Touros,BR,1/23/2022 21:39,-5.1989,-35.4608,83.3,73,7,11.52
147,Ostersund,SE,1/23/2022 21:39,63.1792,14.6357,39.65,65,0,12.66
148,Edson,CA,1/23/2022 21:38,53.5835,-116.4356,44.74,45,100,23.02
149,Raudeberg,NO,1/23/2022 21:39,61.9875,5.1352,46.2,89,100,15.01
150,Palmer,US,1/23/2022 21:34,42.1584,-72.3287,33.4,46,75,3.44
151,Bayonne,FR,1/23/2022 21:39,43.3333,-1.4167,40.14,81,0,8.05
152,Ouesso,CG,1/23/2022 21:39,1.6136,16.0517,77.81,36,98,0.43
153,Norman Wells,CA,1/23/2022 21:39,65.282,-126.8329,5.04,66,100,13.8
154,Ponta Do Sol,PT,1/23/2022 21:39,32.6667,-17.1,65.01,78,98,6.02
155,Nanortalik,GL,1/23/2022 21:39,60.1432,-45.2371,22.62,77,100,6.6
156,Nuuk,GL,1/23/2022 21:39,64.1835,-51.7216,25.41,54,75,11.5
157,Balabac,PH,1/23/2022 21:39,7.9868,117.0645,79.63,80,21,7.23
158,Bankfoot,GB,1/23/2022 21:39,56.5,-3.5,43.66,86,100,15.01
159,Nicolas Bravo,MX,1/23/2022 21:39,18.45,-88.9167,83.28,87,34,3.53
160,Victoria,HK,1/23/2022 21:39,22.2855,114.1577,67.95,94,82,4
161,Nosy Varika,MG,1/23/2022 21:39,-20.5833,48.5333,77.86,89,97,10.2
162,Nouadhibou,MR,1/23/2022 21:39,20.931,-17.0347,71.58,53,100,11.5
163,Torbay,CA,1/23/2022 21:36,47.6666,-52.7314,28.58,91,75,20.71
164,Cidreira,BR,1/23/2022 21:39,-30.1811,-50.2056,78.33,86,37,5.91
165,Mareeba,AU,1/23/2022 21:39,-17,145.4333,74.44,93,100,4.65
166,Esperance,AU,1/23/2022 21:39,-33.8667,121.9,64.24,85,85,14.43
167,Pucallpa,PE,1/23/2022 21:39,-8.3791,-74.5539,87.84,66,75,2.3
168,Akrolimni,GR,1/23/2022 21:39,40.6792,22.2639,35.92,49,40,7.47
169,Sechura,PE,1/23/2022 21:39,-5.5569,-80.8222,80.98,57,40,19.33
170,Namatanai,PG,1/23/2022 21:39,-3.6667,152.4333,82.45,75,94,2.77
171,Sao Joao Da Barra,BR,1/23/2022 21:39,-21.6403,-41.0511,82.49,80,31,10.87
172,Lieksa,FI,1/23/2022 21:39,63.3167,30.0167,31.41,97,100,13.6
173,Lake City,US,1/23/2022 21:39,30.1897,-82.6393,54.63,46,0,6.91
174,Vestmannaeyjar,IS,1/23/2022 21:39,63.4427,-20.2734,37.09,60,100,35.16
175,Aquiraz,BR,1/23/2022 21:39,-3.9014,-38.3911,82.49,72,0,8.84
176,Kahului,US,1/23/2022 21:39,20.8947,-156.47,83.46,69,20,14.97
177,Castro,BR,1/23/2022 21:39,-24.7911,-50.0119,76.98,59,4,0.54
178,Faanui,PF,1/23/2022 21:39,-16.4833,-151.75,81.19,71,66,16.06
179,Asau,RO,1/23/2022 21:39,46.4333,26.4,22.95,91,93,8.01
180,Lompoc,US,1/23/2022 21:39,34.6391,-120.4579,75.69,46,0,12.66
181,Itaituba,BR,1/23/2022 21:38,-4.2761,-55.9836,80.76,83,75,0
182,Rocha,UY,1/23/2022 21:39,-34.4833,-54.3333,74.68,87,98,7.78
183,Georgetown,MY,1/23/2022 21:36,5.4112,100.3354,78.73,93,20,1.99
184,Windsor,CA,1/23/2022 21:40,42.3001,-83.0165,23.34,69,40,5.99
185,Belaya Gora,RU,1/23/2022 21:40,68.5333,146.4167,-34.04,100,99,3.91
186,Nara,JP,1/23/2022 21:40,34.6851,135.8049,43.88,88,100,3.15
187,Chokwe,MZ,1/23/2022 21:40,-24.5333,32.9833,72.45,92,100,8.95
188,Vanavara,RU,1/23/2022 21:40,60.34,102.2797,-9.31,100,100,2.42
189,Wakkanai,JP,1/23/2022 21:40,45.4094,141.6739,21.43,84,100,5.21
190,Dabat,ET,1/23/2022 21:40,12.9842,37.765,52.21,57,26,2.62
191,Klaksvik,FO,1/23/2022 21:40,62.2266,-6.589,41.92,60,100,26.71
192,Ambon,ID,1/23/2022 21:40,-3.6954,128.1814,75.34,94,40,6.91
193,Coquimbo,CL,1/23/2022 21:40,-29.9533,-71.3436,65.93,72,0,16.11
194,Pevek,RU,1/23/2022 21:40,69.7008,170.3133,-12.51,96,100,18.25
